prompt,category,language,domain,id
"Объясните механизм действия антибиотиков пенициллинового ряда и их взаимодействие с бактериальной клеточной стенкой.",factual,ru,медицина,med_01
"Проанализируйте правовые последствия нарушения авторских прав в цифровой среде и применимые санкции.",factual,ru,право,law_01
"Объясните влияние процентных ставок центрального банка на валютный курс и инфляционные процессы.",factual,ru,финансы,fin_01
"Опишите принципы конструктивистского подхода в обучении и его применение в современной педагогике.",factual,ru,образование,edu_01
"Проанализируйте эффективность различных стратегий цифрового маркетинга для продвижения B2B услуг.",factual,ru,маркетинг,mark_01
"Объясните архитектурные принципы микросервисов и их преимущества по сравнению с монолитными приложениями.",technical,ru,технологии,tech_01
"Опишите когнитивные искажения в принятии решений и методы их минимизации в бизнес-процессах.",factual,ru,психология,psych_01
"Проанализируйте влияние климатических изменений на биоразнообразие морских экосистем.",factual,ru,экология,env_01
"Объясните эволюцию художественных техник от импрессионизма к постмодернизму в контексте социальных изменений.",factual,ru,искусство,art_01
"Опишите квантовые эффекты в полупроводниковых материалах и их применение в современной электронике.",technical,ru,физика,phys_01